ID,Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Property Link
rmh.com18621229,7800000000.0,Petukangan,5,3,350 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-rumah-petukangan-jakarta-selatan-oleh-biyantoro-18621229
rmh.com20191794,21000000000.0,Kebayoran Baru,7,4,500 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-dharmawangsa-2-jakarta-selatan-oleh-maria-lim-20191794
rmh.com20171828,85000000000.0,Setia Budi,10,10,1797 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-patra-kuningan-jakarta-selatan-oleh-maria-lim-20171828
rmh.com20204017,27000000000.0,Kebayoran Lama,7,1,334 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-permata-hijau-jakarta-selatan-oleh-maria-lim-20204017
rmh.com21321311,3900000000.0,Cilandak,4,4,150 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-cilandak-barat-jakarta-selatan-oleh-bunny-racello-21321311
rmh.com21320908,4000000000.0,Pesanggrahan,2,1,300 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-rumah-bintaro-jakarta-selatan-oleh-johanna-ratnasari-21320908
rmh.com21316778,67500000000.0,Patra Kuningan,4,4,600 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-patra-kuningan-jakarta-selatan-oleh-erik-ocasa-21316778
rmh.com20689162,8600000000.0,Pondok Indah,8,4,209 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-mutia-20689162
rmh.com20807170,4000000000.0,Lebak Bulus,4,3,150 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-lebak-bulus-jakarta-selatan-oleh-rully-maradhona-20807170
rmh.com20695741,85000000000.0,Pondok Indah,10,7,1700 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-keygreen-20695741
rmh.com17187138,9000000000.0,Kalibata,6,5,355 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-rumah-kalibata-jakarta-selatan-oleh-indah-17187138
rmh.com18904567,19600000000.0,Pondok Indah,6,4,400 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-wiwiek-winsuno-18904567
rmh.com21308770,19000000000.0,Pondok Indah,7,7,450 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-yulia-rachmawati-21308770
rmh.com21318850,1000000000.0,Lenteng Agung,3,2,145 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-lenteng-agung-jakarta-selatan-oleh-fahmy-paul-21318850
rmh.com21318526,4100000000.0,Cilandak,4,4,220 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-cilandak-barat-jakarta-selatan-oleh-syaiful-anwar-21318526
rmh.com19809521,3200000000.0,Gandaria,3,3,200 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-gandaria-utara-jakarta-selatan-oleh-bilas-pambudi-19809521
rmh.com21318348,660000000.0,Lenteng Agung,2,1,50 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-lenteng-agung-jakarta-selatan-oleh-fahmy-paul-21318348
rmh.com21318312,465000000.0,Lenteng Agung,3,3,80 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-lenteng-agung-jakarta-selatan-oleh-fahmy-paul-21318312
rmh.com21318138,10500000000.0,Pondok Indah,4,3,320 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-ponco-21318138
rmh.com18425032,35000000000.0,Pondok Indah,5,4,600 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-ade-syahrial-18425032
rmh.com18640822,9500000000.0,Pondok Indah,2,2,400 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-ade-syahrial-18640822
